Method	Scenario	Max Delay	Mean Delay	Std Delay	Max Queue	Mean Queue	Mean Travel Time	Max Waiting Time	Mean Waiting Time	Std Waiting Time	Trip Info Count	Threshold	Run Dir	Validation Episode	Validation Pass	Validation Env Step
Fixed-Time	Cologne1	378.556	54.61318908188586	45.13235293136955	43.6	15.529722222222222	65.60833746898263	224.4	28.692605459057074	28.02094729034642	2015	1344	tze5f2wx__resco_cologne1__fixed_time	5	1	1000
Fixed-Time	Cologne3	800.674	63.64542577030812	104.19779624949231	39	5.678981481481481	93.8451680672269	764.4	43.59152661064426	94.48716015779874	2856	1904	pmc74urj__resco_cologne3__fixed_time	5	1	1000
Fixed-Time	Cologne8	266.604	51.518673509286415	42.40589570757114	32.4	2.1757638888888886	115.6603128054741	180.4	30.26559139784946	30.497055442103136	2046	1364	mgol3a84__resco_cologne8__fixed_time	5	1	1000
Fixed-Time	Ingolstadt1	398.09000000000003	40.784297202797205	46.40905246641407	35.8	7.363333333333332	54.41958041958041	254.4	20.284498834498834	29.904316616163175	1716	1144	2no5xp6c__resco_ingolstadt1__fixed_time	5	1	1000
Fixed-Time	Ingolstadt7	1078.558	122.88296733751238	164.0651698334379	38.6	5.162103174603175	135.52583305839656	832.4	66.08874958759485	105.90492116962093	3031	2021	zaizq4iq__resco_ingolstadt7__fixed_time	5	1	1000
Fixed-Time	Ingolstadt21	1488.636	145.71631020789536	166.23608795037424	41.4	3.166428571428572	281.8305536089698	1262.4	96.37963092735343	140.61361057272674	4281	2854	k9p5r2sh__resco_ingolstadt21__fixed_time	5	1	1000
Static Max-Pressure	Cologne1	187.992	24.201187096774195	22.782666627011512	18.4	2.91	41.77895781637717	125.4	5.854292803970223	12.630545199449326	2015	1344	frxn9jus__resco_cologne1__static_max_pressure	5	1	1000
Static Max-Pressure	Cologne3	731.1819999999999	56.371360644257706	118.03708076047523	41	3.3672222222222232	81.58802521008406	684	31.786414565826334	98.94317141047875	2856	1904	8ok6nhdb__resco_cologne3__static_max_pressure	5	1	1000
Static Max-Pressure	Cologne8	1147.2279999999998	257.9025913978495	344.93768100860336	97.2	10.584444444444443	231.3989247311828	1095.2	159.5410557184751	315.88433232196707	2046	1364	1c8l6ojg__resco_cologne8__static_max_pressure	5	1	1000
Static Max-Pressure	Ingolstadt1	403.018	25.25156993006993	37.68675697143366	11.2	1.2955555555555553	38.53240093240093	211.4	6.658624708624709	18.65812118024121	1716	1144	spirh5gs__resco_ingolstadt1__static_max_pressure	5	1	1000
Static Max-Pressure	Ingolstadt7	3501.22	212.6975922137908	650.1656712532221	8.8	0.49170634920634926	66.88802375453646	3287.4	12.534081161332896	132.85477907823594	3031	2021	cndug0p6__resco_ingolstadt7__static_max_pressure	5	1	1000
Static Max-Pressure	Ingolstadt21	3480.6539999999995	214.41475356225183	561.6340112469532	30.6	1.2310449735449736	235.5143190843261	3457	68.3486568558748	273.47803917443355	4281	2854	ydj3q20u__resco_ingolstadt21__static_max_pressure	5	1	1000
