	cologne1				cologne3				cologne8			
	delay	trip time	wait	queue	delay	trip time	wait	queue	delay	trip time	wait	queue
FT	107.07 (3.27)	101.30 (1.59)	53.70 (1.26)	41.64 (0.93)	142.77 (51.84)	150.70 (39.48)	88.75 (42.37)	7.65 (0.94)	140.38 (8.11)	202.29 (8.13)	84.85 (5.63)	7.90 (0.36)
MAXPRESS	1427.65 (1.67)	370.17 (0.05)	362.17 (0.05)	110.05 (0.04)	230.36 (203.82)	196.81 (118.29)	152.70 (124.48)	18.98 (12.53)				
SOTL	119.47 (3.30)	111.99 (1.43)	67.82 (1.23)	47.51 (0.85)	86.95 (65.13)	104.22 (24.78)	51.67 (27.21)	9.75 (0.91)	89.88 (7.25)	155.48 (7.02)	62.98 (5.66)	5.59 (0.44)
IQL	26.86 (0.71)	48.57 (0.68)	12.41 (0.51)	11.36 (0.33) 	45.29 (42.20)	75.29 (29.78)	25.58 (31.74)	3.79 (2.29)	24.47 (0.50)	89.06 (0.55)	8.01 (0.34)	1.10 (0.04)
IDQN	25.97 (0.91)	47.15 (0.74)	11.49 (0.55)	10.51 (0.38)	36.56 (20.98)	69.01 (16.50)	18.14 (17.62)	3.25 (1.17)	24.11 (0.33)	88.71 (0.39	7.65 (0.23)	1.07 (0.03)
IPPO	63.06 (6.63)	75.92 (3.98)	33.72 (3.23)	25.24 (1.67)	54.13 (31.35)	85.29 (24.43)	33.54 (26.12)	5.35 (1.75)	39.90 (1.38)	104.72 (1.43)	19.50 (0.93)	2.27 (0.09)
VDN	25.14 (0.79)	47.09 (0.77)	11.43 (0.59)	9.99 (0.37)	64.77 (88.69)	84.20 (46.44)	35.03 (49.66)	3.96 (2.55)	27.17 (0.57)	91.84 (0.65)	10.34 (0.39)	1.31 (0.04)
MAPPO	28.42 (0.83)	50.20 (0.80)	14.40 (0.66)	11.12 (0.39)	57.51 (61.04)	84.07 (34.40)	33.99 (36.58)	4.32 (2.51)	29.69 (0.54)	94.54 (0.64)	13.66 (0.48)	1.42 (0.04)
FMA2C	25.78 (1.21)	47.58 (1.11)	12.35 (0.83)	10.36 (0.58)	97.24 (161.97)	101.03 (73.85)	52.67 (79.49)	5.73 (4.84)	40.72 (3.90)	104.72 (3.04)	18.45 (1.62)	2.23 (0.18)
MPLight	185.86 (29.50)	140.30 (14.56)	82.00 (10.32)	60.37 (6.56)	163.57 (66.84)	161.61 (44.26)	103.27 (46.98)	16.91 (3.48)				
CoSLight												
DuaLight	25.25 (0.95)	46.72 (0.86)	11.34 (0.63)	9.96 (0.43)	33.89 (20.90)	67.42 (16.53)	16.90 (17.67)	3.17 (1.34)	25.64 (0.48)	90.26 (0.48)	9.22 (0.35)	1.17 (0.04)
PressLight	33.32 (1.71)	54.90 (1.59)	18.45 (1.40)	12.33 (0.61)	34.06 (23.17)	66.26 (13.87)	16.66 (14.81)	2.80 (0.87)	27.60 (0.86)	92.57 (0.96)	11.59 (0.66)	1.27 (0.06)
HiLight												
SHLight												
proposed									43.98 (4.04)	107.43 (2.87)	20.04 (1.38)	2.41 (0.17)
proposed + gnn									42.85 (4.61)	159.88 (68.93)	19.81 (1.55)	2.37 (0.19)
mappo									29.79 (0.98)	61.66 (32.72)	14.18 (0.92)	1.44 (0.07)
